time_accessed,tweet_id,full_text,created_at,geo,place_name,coordinates,user_location
2021-10-22 15:50,1.45E+18,Bolsanaro has charges against humanity for allowing #COVID19 to spread rapidly across #Brazil. He is anti-science &amp; thinks that's herd immunity is the solution. It is not. There is provinces in #Canada who's public health officers continue to do the same thing. We want justice.,2021-10-20 15:04,,Surrey,,Turtle Island
2021-10-22 15:50,1.45E+18,"Great news: “90% of eligible residents have at least 1 dose, 75% of all residents are fully vaccinated.”

Ottawa nearing herd immunity as it hits major vaccine milestones | CBC News https://t.co/YtpHKiwcgj",2021-10-19 11:52,,Ottawa,,"Ottawa, Ontario"
2021-10-22 15:50,1.45E+18,"Oregon set to reach herd immunity? 

https://t.co/60LVuXfMVm",2021-10-18 11:08,,Toronto,,"Toronto, and Vancouver Canada"
2021-10-22 15:50,1.45E+18,@TorontosMayor maybe you can post some empirical data proving how mandatory vaccination is going to 1)  prevent the spread of COVID by unvaxed to vaxed  and 2) how we will reach herd immunity. And 3) effectiveness and safety of mask wearing in schools.!! PH and Kieran haven’t yet,2021-10-13 23:14,,Ajax,,"Ajax, Ontario"
2021-10-22 15:50,1.45E+18,"Get #vaccinated people - everywhere 
We need that high level of immunity to get out of the pandemic and we’re only going to get there, SAFELY, with #vaccination https://t.co/FZBU36Lfrn",2021-10-22 0:43,,Québec,,"Québec, Canada"
2021-10-22 15:50,1.45E+18,"@mileslunn @wendygillis Lol.  You’re a cop, you have natural immunity because you served the public during the pandemic before vaccines were available and now we are going to fire you if you don’t get vaccinated because we don’t want to send the wrong message?  You realize that makes zero sense?",2021-10-22 0:42,,Toronto,,Canada
2021-10-22 15:50,1.45E+18,"@Stevenbradleyb @DavidStaplesYEG Relying on natural immunity = more deaths

No thanks! Over 28 000 Covid deaths in this country is too many. 😠",2021-10-20 15:31,,Canmore,,"Canmore, AB"
2021-10-22 15:50,1.45E+18,@CityNewsTO Vaccines font help covid 19 so no need.  Your own immunity is fine . Everyone does not get covid.,2021-10-20 15:09,,Toronto,,toronto
2021-10-22 15:50,1.45E+18,Bolsanaro has charges against humanity for allowing #COVID19 to spread rapidly across #Brazil. He is anti-science &amp; thinks that's herd immunity is the solution. It is not. There is provinces in #Canada who's public health officers continue to do the same thing. We want justice.,2021-10-20 15:04,,Surrey,,Turtle Island
2021-10-22 15:50,1.45E+18,"@BillStewart415 @darakass @vipey1 I can get it now 40 years later but that’s my choice, my CHOICE. This C19 vaccine does not protect you better than natural immunity, 6 months and you need another, then another to fight a never ending virus. Respiratory viruses can not be cured, ever.",2021-10-20 0:09,,Fort Saskatchewan,,Fort Saskatchewan
2021-10-22 15:50,1.45E+18,"@BillStewart415 @darakass @vipey1 Immunity isn’t for life man, it protects the majority of people for a long time, you’re body did what it was designed to do and fight of a virus. The chicken pox vaccine works for people who didn’t get chicken pox, I didn’t get the chicken pox vaccine because I had it, recovered",2021-10-20 0:07,,Fort Saskatchewan,,Fort Saskatchewan
2021-10-22 15:50,1.45E+18,"@BillStewart415 @darakass @vipey1 Exactly what I’m saying. If I had chicken pox I wouldn’t need any vaccine until decades later, not 6 months. I don’t have to worry about polio because that vaccine actually works, if I had polio and survived it I have natural immunity. This vaccine is all BS. Does not work",2021-10-19 22:55,,Fort Saskatchewan,,Fort Saskatchewan
2021-10-22 15:50,1.45E+18,"@Fiberton @cwt_news That's wrong on two counts:
1. no vaccine has ever been proven to give immunity, only to increase antibody counts, &amp;
2. COVID-19™️ vaccines are claimed to improve antibody counts, or at least reduce infections among clinical group versus control group, same as every other vaccine",2021-10-19 21:13,,Calgary,,Western Canada
2021-10-22 15:50,1.45E+18,"@bip_bip21 @cwt_news primary approach for global eradication has been administration of oral polio vaccine (OPV), an inexpensive live attenuated vaccine that is easy to administer &amp; promotes community immunity through transmission from vaccinated children to community contacts
https://t.co/9k4ptJmibf",2021-10-19 21:07,,Calgary,,Western Canada
2021-10-22 15:50,1.45E+18,"🔊on
👇🏾the often undervalued aspect of vaccination is COLLECTIVE IMMUNITY:
#Vaccine effectiveness⬆️ as more people #SayYesToVaccines➡️the protection of those who can’t get vaccinated/are #immunocompromised also⬆️.
Getting vaccinated isn’t a personal choice it’s a collective one🙌🏾 https://t.co/JudXKCti7J",2021-10-19 17:53,,Montréal,,"Tiohtià:ke (Montreal), Canada"
2021-10-22 15:50,1.45E+18,"Natural immunity is good. Getting vaccinated after being sick with COVID-19 is better.

https://t.co/esEq2b173i",2021-10-19 13:26,,Toronto,,"Toronto, and Vancouver Canada"
2021-10-22 15:50,1.45E+18,"Great news: “90% of eligible residents have at least 1 dose, 75% of all residents are fully vaccinated.”

Ottawa nearing herd immunity as it hits major vaccine milestones | CBC News https://t.co/YtpHKiwcgj",2021-10-19 11:52,,Ottawa,,"Ottawa, Ontario"
2021-10-22 15:50,1.45E+18,"@infoamfred I understand the importance of the vaccine, however why is it they will not consider natural immunity? There are three things that could be done here and it doesn't mean people have to lose jobs.",2021-10-19 10:30,,Fredericton,,"New Brunswick, Canada"
2021-10-22 15:50,1.45E+18,"@corruptcovid19 @AdrianaBarton Innate immunity is supposed to wane. But adaptive immunity is slower and gets overwhelmed in older (not uniformly either) people and so we are seeing outbreaks in those cohorts which is why, when herd threshold became impossible, the unvaccinated needed to step up. They didn’t.",2021-10-18 18:45,,Colwood,,"Victoria, British Columbia"
2021-10-22 15:50,1.45E+18,@ShulimLeifer A blood cancer no less. Exactly the kind of people they said likely build way less immunity from the vaccine.,2021-10-18 17:09,,Toronto,,"Toronto, ON (Treaty 13) 🇨🇦"
2021-10-22 15:50,1.45E+18,"@DanielFalcao__ @BoredAlive1 @Gossip4Royal @CP24 That’s why you shouldn’t make assumptions and do your research beforehand. The vaccine only helps you fight Covid, it doesn’t give you god like immunity. This has been the case for all kind of vaccines over time.",2021-10-18 13:55,,Oshawa,,"Toronto, Ontario"
2021-10-22 15:50,1.45E+18,"Oregon set to reach herd immunity? 

https://t.co/60LVuXfMVm",2021-10-18 11:08,,Toronto,,"Toronto, and Vancouver Canada"
2021-10-22 15:50,1.45E+18,@anitaelizar @thescottbarber Adults could need a booster of That vaccine when my sister was pregnant and there was an outbreak down there I had to be tested to make sure I still had enough immunity,2021-10-17 22:37,,Ottawa,,Canada
2021-10-22 15:50,1.45E+18,@ACTforAmerica If 50% herd immunity why are they still pushing  vaccines. I got Cancer just found out should I be taking experimental vaxs,2021-10-17 21:20,,Hope,,"Hope, B.C."
2021-10-22 15:50,1.45E+18,"@IanDJbrown2 @Narvuntien @Canadianworker2 @jimdtweet @Kenneth72712993 @4Clearsky @BubbasRanch @keithamccluskey @OscarsWild1 @MassiMassian @JohnDublin10 @TWTThisIsNow @robhon_ @25_cycle @EricWil06256732 @dan613 @chimera414 @IngersolRobert @GuyGadboisGuyG1 @DaveJohn0175 @Tragiicomedy @TheDisproof @rvrs_man @Shinedown1911 @priscian @BigRakaDoc @FillmoreWhite @robinlarder @RealBeeOlogist @DawnTJ90 @ejwwest @SniemN @BarbaraGirouard @rln_nelson @Jaisans @Extinct55021670 @GlennCarr6 @BridgetHolmstro @MedBennett @Tcaddy5 @LauraSunlight @HalBrow68884227 @BradSchrag @RushhourP @Sdg13Un @dtd1985 @Keeper_86 @organicdot @BrknMan just stop being stupid Ian, what's your doc going to do for you when you aquire covid. You claim you have immunity issues publicly on twitter, be prudent to know what's in store.",2021-10-17 17:12,,Calgary,,Calgary
